,Khu vực,Năm,Tỷ suất trẻ em chết dưới 1 tuổi
0,An Giang,2007,20.6
1,Bà Rịa - Vũng Tàu,2007,11.0
2,Bình Dương,2007,12.0
3,Bình Phước,2007,19.0
4,Bình Thuận,2007,14.0
5,Bình Định,2007,18.3
6,Bạc Liêu,2007,13.0
7,Bắc Giang,2007,19.0
8,Bắc Kạn,2007,20.4
9,Bắc Ninh,2007,14.8
10,Bắc Trung Bộ và Duyên hải miền Trung,2007,18.8
11,Bến Tre,2007,15.0
12,Cao Bằng,2007,40.0
13,Cà Mau,2007,14.4
14,CẢ NƯỚC,2007,16.0
15,Cần Thơ,2007,13.7
16,Gia Lai,2007,32.0
17,Hoà Bình,2007,44.5
18,Hà Giang,2007,13.5
19,Hà Nam,2007,7.5
20,Hà Nội,2007,18.1
21,Hà Tĩnh,2007,26.0
22,Hưng Yên,2007,13.0
23,Hải Dương,2007,12.0
24,Hải Phòng,2007,9.5
25,Hậu Giang,2007,13.0
26,Khánh Hoà,2007,15.0
27,Kiên Giang,2007,15.5
28,Kon Tum,2007,50.0
29,Lai Châu,2007,37.0
30,Long An,2007,14.2
31,Lào Cai,2007,25.0
32,Lâm Đồng,2007,14.6
33,Lạng Sơn,2007,25.0
34,Nam Định,2007,13.1
35,Nghệ An,2007,23.8
36,Ninh Bình,2007,14.0
37,Ninh Thuận,2007,16.5
38,Phú Thọ,2007,17.0
39,Phú Yên,2007,27.0
40,Quảng Bình,2007,18.0
41,Quảng Nam,2007,19.5
42,Quảng Ngãi,2007,19.7
43,Quảng Ninh,2007,17.3
44,Quảng Trị,2007,35.5
45,Sóc Trăng,2007,19.0
46,Sơn La,2007,31.0
47,TP.Hồ Chí Minh,2007,10.0
48,Thanh Hoá,2007,23.0
49,Thái Bình,2007,15.0
50,Thái Nguyên,2007,21.0
51,Thừa Thiên Huế,2007,14.8
52,Tiền Giang,2007,15.0
53,Trung du và miền núi phía Bắc,2007,23.7
54,Trà Vinh,2007,18.5
55,Tuyên Quang,2007,37.0
56,Tây Nguyên,2007,27.0
57,Tây Ninh,2007,14.5
58,Vĩnh Long,2007,13.0
59,Vĩnh Phúc,2007,14.8
60,Yên Bái,2007,32.5
61,Điện Biên,2007,37.0
62,Đà Nẵng,2007,10.0
63,Đông Nam Bộ,2007,10.0
64,Đắk Lắk,2007,24.0
65,Đắk Nông,2007,30.0
66,Đồng Nai,2007,13.5
67,Đồng Tháp,2007,15.5
68,Đồng bằng sông Cửu Long,2007,11.0
69,Đồng bằng sông Hồng,2007,10.0
70,An Giang,2008,21.0
71,Bà Rịa - Vũng Tàu,2008,10.0
72,Bình Dương,2008,13.0
73,Bình Phước,2008,18.0
74,Bình Thuận,2008,14.0
